id,major_id,category_id
1,50,1
2,49,1
3,48,1
4,46,1
5,45,1
6,44,1
7,43,1
8,37,1
9,36,1
10,35,1
11,34,1
12,29,1
13,27,1
14,23,1
15,22,1
16,21,1
17,20,1
18,19,1
19,18,1
20,17,1
21,16,1
22,15,1
23,14,1
24,13,1
25,12,1
26,11,1
27,10,1
28,9,1
29,8,1
30,7,1
31,6,1
32,5,1
33,4,1
34,3,1
35,2,1
36,1,1
37,45,2
38,44,2
39,27,2
40,17,2
41,16,2
42,15,2
43,11,2
44,10,2
45,9,2
46,8,2
47,5,2
48,4,2
49,2,2
50,1,2
51,47,3
52,42,3
53,41,3
54,40,3
55,39,3
56,38,3
57,33,3
58,31,3
59,24,3
60,23,3
61,22,3
62,21,3
63,20,3
64,12,3
65,3,3
66,42,4
67,39,4
68,32,4
69,30,4
70,26,4
71,25,4
72,20,4
73,14,4
74,13,4
75,7,4
76,3,4
77,50,5
78,49,5
79,47,5
80,46,5
81,32,5
82,30,5
83,29,5
84,28,5
85,26,5
86,25,5
87,12,5
88,7,5
89,6,5
90,37,6
91,36,6
92,35,6
93,34,6
94,24,6
95,48,7
96,43,7
97,42,7
98,41,7
99,40,7
100,39,7
101,38,7
102,33,7
103,32,7
104,31,7
105,30,7
106,28,7
107,26,7
108,25,7
109,19,7
110,18,7
111,16,7
112,15,7
113,14,7
114,13,7
