id_major,major
1,Teknik Informatika
2,Ilmu Komputer
3,Sains Data
4,Sistem Informasi
5,Teknologi Informasi
6,Teknik Sipil
7,Perencanaan Wilayah & Kota (PWK)
8,Teknik Industri
9,Teknik Mesin
10,Teknik Elektro
11,Teknik Kimia
12,Teknik Lingkungan
13,Ekonomi Pembangunan
14,Ilmu Ekonomi
15,Manajemen
16,Bisnis
17,Kewirausahaan
18,Akuntansi
19,Keuangan
20,Statistika
21,Matematika
22,Fisika
23,Kimia
24,Biologi
25,Hukum
26,Ilmu Administrasi Publik
27,Ilmu Administrasi Bisnis
28,Ilmu Komunikasi
29,Hubungan Internasional
30,Sosiologi
31,Psikologi
32,Antropologi
33,Pendidikan / Keguruan
34,Pertanian
35,Agribisnis
36,Kehutanan
37,Peternakan
38,Kedokteran
39,Kesehatan Masyarakat
40,Farmasi
41,Keperawatan
42,Gizi
43,Pariwisata
44,Perhotelan
45,Desain Komunikasi Visual (DKV)
46,Arsitektur
47,Sastra / Bahasa
48,Seni & Kriya
49,Lainnya
50,Umum
