id,user_id,category_id
1,51fd206c-5725-4dfe-b84f-6b5d551538cd,1
2,51fd206c-5725-4dfe-b84f-6b5d551538cd,2
10,5f1060c2-0d39-4927-8afa-37ad3c69cb50,1
11,5f1060c2-0d39-4927-8afa-37ad3c69cb50,2
12,5f1060c2-0d39-4927-8afa-37ad3c69cb50,3
13,5f1060c2-0d39-4927-8afa-37ad3c69cb50,4
14,5f1060c2-0d39-4927-8afa-37ad3c69cb50,5
15,5f1060c2-0d39-4927-8afa-37ad3c69cb50,6
16,5f1060c2-0d39-4927-8afa-37ad3c69cb50,7
17,ac6d9627-34be-4703-a299-369ed650a7f1,2
18,ac6d9627-34be-4703-a299-369ed650a7f1,4
19,ac6d9627-34be-4703-a299-369ed650a7f1,5
20,ac6d9627-34be-4703-a299-369ed650a7f1,7
