id,video_id,title,thumbnail_url,published_at,is_live,updated_at
2,yZLMXj7M9nY,Siaran Pers - Berita Resmi Statistik Agustus 2026,https://i.ytimg.com/vi/yZLMXj7M9nY/hqdefault.jpg,2026-08-03 19:19:35+00,false,2026-09-02 08:57:00.013535+00
3,MJFoFuT85kA,MEETING MINGGUAN SE2026,https://i.ytimg.com/vi/MJFoFuT85kA/hqdefault.jpg,2026-07-24 01:51:22+00,false,2026-09-02 08:57:00.013535+00
4,If5qsMzz7hE,Rilis Berita Resmi Statistik BPS Kota Malang Edisi Juli 2026,https://i.ytimg.com/vi/If5qsMzz7hE/hqdefault.jpg,2026-07-01 19:36:04+00,false,2026-09-02 08:57:00.013535+00
5,sa5zLJMg6YE,Siaran Pers Berita Resmi Statistik Juni 2026,https://i.ytimg.com/vi/sa5zLJMg6YE/hqdefault.jpg,2026-06-02 19:38:44+00,false,2026-09-02 08:57:00.013535+00
6,9hiHqxSyF4g,Gladi resik Rilis,https://i.ytimg.com/vi/9hiHqxSyF4g/hqdefault.jpg,2026-06-02 05:18:30+00,false,2026-09-02 08:57:00.013535+00
7,_dooeR92yTY,SIARAN PERS : BERITA RESMI STATISTIK MEI 2026,https://i.ytimg.com/vi/_dooeR92yTY/hqdefault.jpg,2026-05-04 19:15:49+00,false,2026-09-02 08:57:00.013535+00
8,Gn2A2y4HWDY,SIARAN PERS : BERITA RESMI STATISTIK APRIL  2026,https://i.ytimg.com/vi/Gn2A2y4HWDY/hqdefault.jpg,2026-04-01 19:30:30+00,false,2026-09-02 08:57:00.013535+00
9,ct4-6lfnsNw,SIARAN PERS : BERITA RESMI STATISTIK Maret 2026,https://i.ytimg.com/vi/ct4-6lfnsNw/hqdefault.jpg,2026-03-02 19:29:13+00,false,2026-09-02 08:57:00.013535+00
10,q8vRTkjKLuk,SIARAN PERS : BERITA RESMI STATISTIK FEBRUARI 2026,https://i.ytimg.com/vi/q8vRTkjKLuk/hqdefault.jpg,2026-02-02 19:40:54+00,false,2026-09-02 08:57:00.013535+00
11,zHugj7O4Bxc,Siaran Pers - Berita Resmi Statistik Januari 2026,https://i.ytimg.com/vi/zHugj7O4Bxc/hqdefault.jpg,2026-01-05 20:32:24+00,false,2026-09-02 08:57:00.013535+00
12,m0EjRD8RByM,PRESS RELEASE BERITA RESMI STATISTIK - JANUARI 2026,https://i.ytimg.com/vi/m0EjRD8RByM/hqdefault.jpg,2026-01-05 07:28:29+00,false,2026-09-02 08:57:00.013535+00
13,9c11neebPN8,GR - PRESS RELEASE,https://i.ytimg.com/vi/9c11neebPN8/hqdefault.jpg,2026-01-05 04:29:50+00,false,2026-09-02 08:57:00.013535+00
14,SnE37p4QupI,Press Rilis Berita Resmi Statistik Desember 2025,https://i.ytimg.com/vi/SnE37p4QupI/hqdefault.jpg,2025-12-01 19:10:40+00,false,2026-09-02 08:57:00.013535+00
15,ETn0sIWDbvE,Press Release Berita Resmi Statistik - Desember 2025,https://i.ytimg.com/vi/ETn0sIWDbvE/hqdefault.jpg,2025-12-01 18:33:56+00,false,2026-09-02 08:57:00.013535+00
16,InQ75vVAWbo,Press Release Berita Resmi Statistik November 2025,https://i.ytimg.com/vi/InQ75vVAWbo/hqdefault.jpg,2025-11-03 19:12:55+00,false,2026-09-02 08:57:00.013535+00
17,oOLsOOqgPNQ,Gladi Resik PRESS RILIS BRS,https://i.ytimg.com/vi/oOLsOOqgPNQ/hqdefault.jpg,2025-11-03 04:58:57+00,false,2026-09-02 08:57:00.013535+00
